	element	cell size	cell type	kpd	err us	err vasp	diff in errors	kp file	grid type
177	Al	4	base centered orthorhombic	1173.2447584704014	8.740910000026858e-05	8.740910000026858e-05	0.0	20	fcc
178	Al	5	body centered tetragonal	2.9963685659005708	0.04248349090000003	0.04248389089999982	3.9999999978945766e-07	5	sc
179	Al	5	body centered tetragonal	18.311141236059044	0.0024731091000003147	0.002472909100000198	-2.0000000011677344e-07	10	sc
180	Al	5	body centered tetragonal	61.259090680633896	0.0009296908999996134	0.0009296908999996134	0.0	15	sc
181	Al	5	body centered tetragonal	139.83053307535997	0.0008617091000000521	0.0008617091000000521	0.0	20	sc
182	Al	5	body centered tetragonal	9.9878952196685695	0.020801690899999947	0.020801690899999947	0.0	5	bcc
183	Al	5	body centered tetragonal	52.269984982932179	0.000971690900000155	0.000971690900000155	0.0	10	bcc
184	Al	5	body centered tetragonal	151.81600733896227	0.00041170910000021266	0.00041170910000021266	0.0	15	bcc
185	Al	5	body centered tetragonal	333.92863017758583	0.0002571091000000969	0.0002571091000000969	0.0	20	bcc
186	Al	5	body centered tetragonal	16.979421873436568	0.011602890899999885	0.011602890899999885	0.0	5	fcc
187	Al	5	body centered tetragonal	95.217934427507032	0.000648490899999743	0.000648490899999743	0.0	10	fcc
188	Al	5	body centered tetragonal	290.31482105169977	0.00012990910000043598	0.00012990910000043598	0.0	15	fcc
189	Al	5	body centered tetragonal	643.22045214665593	7.370910000004116e-05	7.370910000004116e-05	0.0	20	fcc
190	Al	6	simple orthorhombic	11.985474263602285	0.007968757566666262	0.007968757566666262	0.0	6	sc
191	Al	6	simple orthorhombic	76.707035287054623	0.0013644242333334944	0.0013644242333334944	0.0	12	sc
192	Al	6	simple orthorhombic	237.31239041932523	0.0008379091000003669	0.0008379091000003669	0.0	18	sc
193	Al	6	simple orthorhombic	29.564169850218967	0.007689742433333091	0.007689742433333091	0.0	6	bcc
194	Al	6	simple orthorhombic	168.99518711679221	0.0018307575666662856	0.0018307575666662856	0.0	12	bcc
195	Al	6	simple orthorhombic	504.98798230644292	0.00041040910000011976	0.00041040910000011976	0.0	18	bcc
196	Al	6	simple orthorhombic	44.346254775328454	0.006634757566666316	0.006634757566666316	0.0	6	fcc
197	Al	6	simple orthorhombic	290.04847717917528	0.0003412424333335551	0.0003412424333335551	0.0	12	fcc
198	Al	6	simple orthorhombic	909.69749660741343	9.00757666668639e-05	9.00757666668639e-05	0.0	18	fcc
199	Al	7	body centered orthorhombic	19.11017285363253	0.015068376614285395	0.015068376614285395	0.0	7	sc
200	Al	7	body centered orthorhombic	117.45764778330238	0.0021830909000000176	0.0021829480428574577	-1.4285714255990456e-07	14	sc
201	Al	7	body centered orthorhombic	370.08481087278608	0.00020262338571441774	0.00020276624285697764	1.4285714255990456e-07	21	sc
202	Al	7	body centered orthorhombic	41.48305814569013	0.00795423375714277	0.00795423375714277	0.0	7	bcc
203	Al	7	body centered orthorhombic	248.89834887414077	0.0006870908999996317	0.0006870908999996317	0.0	14	bcc
204	Al	7	body centered orthorhombic	759.74589637612257	7.223375714282554e-05	7.223375714282554e-05	0.0	21	bcc
205	Al	7	body centered orthorhombic	65.720350545419194	4.037661428579753e-05	4.037661428579753e-05	0.0	7	fcc
206	Al	7	body centered orthorhombic	433.9407543105338	0.0002944805285718388	0.00029462338571395463	1.4285714211581535e-07	14	fcc
207	Al	7	body centered orthorhombic	1390.8477023229138	1.0909000001113611e-06	9.480428571073674e-07	-1.4285714300399377e-07	21	fcc
208	Al	8	base centered orthorhombic	38.353517643527312	0.0039536591000000065	0.0039536591000000065	0.0	8	sc
209	Al	8	base centered orthorhombic	289.78213330665079	0.0005092158999997487	0.0005092158999997487	0.0	16	sc
210	Al	8	base centered orthorhombic	95.883794108818265	0.005517034099999929	0.005517034099999929	0.0	8	bcc
211	Al	8	base centered orthorhombic	652.00979993996418	0.0002311591000001556	0.0002311591000001556	0.0	16	bcc
212	Al	8	base centered orthorhombic	178.98308233646077	0.0006194658999998381	0.0006195908999999666	1.2500000012849455e-07	8	fcc
213	Al	8	base centered orthorhombic	1261.4045802760093	0.00013903410000004612	0.00013903410000004612	0.0	16	fcc
214	Al	9	body centered orthorhombic	51.537539333489818	0.0014007575666665772	0.0014007575666665772	0.0	9	sc
